Region,Country,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,Tanzania,30956.94,22960.56,7996.38
Europe,Vatican City,4099168.18,3082580.36,1016587.82
Sub-Saharan Africa,Senegal,6438113.18,4841470.36,1596642.82
Europe,Bulgaria,914953.60,520905.28,394048.32
Middle East and North Africa,Kuwait,30210.54,22406.96,7803.58
Middle East and North Africa,Pakistan,622349.60,204108.80,418240.80
Australia and Oceania,Samoa ,904712.32,564984.48,339727.84
Europe,Monaco,853338.34,503661.27,349677.07
Europe,Serbia,117011.70,78394.14,38617.56
Europe,Ireland,547320.32,341796.48,205523.84
Europe,Andorra,361164.87,250424.73,110740.14
Sub-Saharan Africa,Democratic Republic of the Congo,941876.34,601497.12,340379.22
Middle East and North Africa,Algeria,2665079.13,2303746.73,361332.40
Europe,Latvia,64730.16,44882.64,19847.52
Middle East and North Africa,Egypt,827468.16,271380.48,556087.68
Central America and the Caribbean,Costa Rica,181732.64,59601.92,122130.72
Central America and the Caribbean,Honduras,942.33,698.92,243.41
Sub-Saharan Africa,Burundi,759714.56,249159.68,510554.88
Asia,South Korea,679666.68,471267.72,208398.96
Europe,Liechtenstein,4768159.62,3843757.12,924402.50
Europe,Armenia,1406875.92,830372.76,576503.16
Central America and the Caribbean,Saint Vincent and the Grenadines,3967518.99,2983579.98,983939.01
Europe,France,1277674.02,1029971.52,247702.50
Central America and the Caribbean,Guatemala,401521.90,269006.98,132514.92
Central America and the Caribbean,Antigua and Barbuda ,413858.90,277272.38,136586.52
Sub-Saharan Africa,Central African Republic,250093.80,173410.20,76683.60
Europe,Netherlands,2490227.04,2007447.04,482780.00
Central America and the Caribbean,El Salvador,32283.35,22384.65,9898.70
Sub-Saharan Africa,Niger,644432.98,380360.19,264072.79
Middle East and North Africa,Saudi Arabia,2427156.64,1825225.28,601931.36
Sub-Saharan Africa,The Gambia,1405872.12,897812.16,508059.96
Sub-Saharan Africa,Kenya,3558220.26,3075795.46,482424.80
North America,Canada,126488.82,80777.76,45711.06
Sub-Saharan Africa,Angola,27672.78,20524.72,7148.06
Sub-Saharan Africa,Central African Republic,525485.52,335583.36,189902.16
Central America and the Caribbean,The Bahamas,2014669.76,1258142.64,756527.12
Asia,South Korea,1675325.19,1448183.99,227141.20
Europe,Kosovo,4151463.75,3346620.00,804843.75
Sub-Saharan Africa,Angola,199545.28,65443.84,134101.44
Europe,Finland,38066.40,28233.60,9832.80
Sub-Saharan Africa,Mauritania,729276.79,505666.41,223610.38
Sub-Saharan Africa,Niger,3869153.19,3344571.99,524581.20
Asia,South Korea,6464843.98,4861571.96,1603272.02
North America,Greenland,1505597.52,1213707.52,291890.00
Middle East and North Africa,Lebanon,153443.76,90566.28,62877.48
Europe,Italy,728569.76,238945.28,489624.48
Europe,Belarus,350934.00,224112.00,126822.00
North America,United States of America,374855.00,251141.00,123714.00
Central America and the Caribbean,Saint Kitts and Nevis ,1404805.84,877288.26,527517.58
Europe,Poland,1825310.00,1099402.75,725907.25
Sub-Saharan Africa,Kenya,3267120.57,2633724.32,633396.25
Sub-Saharan Africa,Kenya,672836.96,220666.88,452170.08
Europe,United Kingdom,5183102.12,3897700.24,1285401.88
Europe,Norway,65384.64,48495.36,16889.28
Sub-Saharan Africa,Zimbabwe,478490.88,305571.84,172919.04
Central America and the Caribbean,Saint Lucia,22336.02,16566.48,5769.54
Middle East and North Africa,United Arab Emirates,335380.32,109992.96,225387.36
Sub-Saharan Africa,Lesotho,122023.84,76202.76,45821.08
Asia,Sri Lanka,405229.00,230706.70,174522.30
North America,Mexico,157330.25,109089.75,48240.50
Middle East and North Africa,Yemen,1040367.18,614050.29,426316.89
Sub-Saharan Africa,Sao Tome and Principe,1081653.44,354744.32,726909.12
Sub-Saharan Africa,Guinea,558379.36,387169.44,171209.92
Sub-Saharan Africa,Sudan,15572.08,9724.62,5847.46
Australia and Oceania,Kiribati,2754608.94,2071469.88,683139.06
Asia,Laos,47403.40,32868.60,14534.80
Europe,Bosnia and Herzegovina,467572.10,275972.55,191599.55
Asia,Malaysia,1414727.59,1063877.18,350850.41
Sub-Saharan Africa,Burkina Faso,124066.08,77478.12,46587.96
Sub-Saharan Africa,Namibia,371818.20,249106.44,122711.76
Asia,Taiwan,643659.20,211097.60,432561.60
Europe,Ukraine,161472.35,108181.37,53290.98
Sub-Saharan Africa,Uganda,489392.40,423040.40,66352.00
Central America and the Caribbean,Antigua and Barbuda ,1065008.40,680131.20,384877.20
Central America and the Caribbean,Guatemala,33736.95,22602.69,11134.26
Central America and the Caribbean,Honduras,1408771.14,899663.52,509107.62
Asia,Cambodia,948161.76,764341.76,183820.00
Central America and the Caribbean,Panama,2221329.48,1670442.96,550886.52
Middle East and North Africa,Jordan,1228532.00,739957.30,488574.70
Sub-Saharan Africa,Lesotho,537439.04,176261.12,361177.92
Europe,Malta,1706802.08,1065882.12,640919.96
Europe,Slovenia,919720.20,795024.20,124696.00
Middle East and North Africa,Yemen,612811.54,424911.66,187899.88
Europe,Moldova ,880691.76,562423.68,318268.08
Europe,Vatican City,1407916.02,1134963.52,272952.50
Europe,United Kingdom,724127.80,502096.20,222031.60
Middle East and North Africa,Tunisia ,37970.10,32822.10,5148.00
Australia and Oceania,Federated States of Micronesia,1094904.42,646239.51,448664.91
Sub-Saharan Africa,Equatorial Guinea,487798.26,311515.68,176282.58
Asia,Uzbekistan,80965.74,60051.76,20913.98
North America,Mexico,1213012.90,690597.67,522415.23
Sub-Saharan Africa,The Gambia,652598.16,385179.48,267418.68
Europe,Portugal,417149.92,289243.68,127906.24
Sub-Saharan Africa,Equatorial Guinea,2930026.05,2532772.05,397254.00
North America,United States of America,18961.36,13147.44,5813.92
Middle East and North Africa,Turkey,23045.10,17092.40,5952.70
Asia,Singapore,487493.10,311320.80,176172.30
Sub-Saharan Africa,Djibouti,1369405.50,874524.00,494881.50
Sub-Saharan Africa,Burkina Faso,3675540.40,2213815.31,1461725.09
Sub-Saharan Africa,Sao Tome and Principe,3114175.60,1875699.59,1238476.01
Asia,Laos,424630.14,271175.52,153454.62
North America,Canada,737.07,546.68,190.39
Europe,Denmark,1179689.50,671625.85,508063.65
Australia and Oceania,Nauru,2283793.47,1841034.72,442758.75
Sub-Saharan Africa,Ghana,1003081.12,328975.36,674105.76
North America,Greenland,1421909.60,887969.40,533940.20
Australia and Oceania,Australia,615345.17,426668.43,188676.74
Australia and Oceania,Palau,1426323.80,812040.74,614283.06
Central America and the Caribbean,El Salvador,1174560.84,750093.12,424467.72
Middle East and North Africa,Algeria,117393.72,69288.66,48105.06
Sub-Saharan Africa,Sao Tome and Principe,1388478.00,886704.00,501774.00
Europe,Austria,1769337.57,1426316.32,343021.25
Australia and Oceania,Samoa ,562319.00,331894.50,230424.50
Sub-Saharan Africa,Liberia,78869.45,54686.55,24182.90
Europe,Vatican City,1470923.36,918578.04,552345.32
Europe,Estonia,674148.32,221096.96,453051.36
Europe,Belgium,361886.94,213594.57,148292.37
Sub-Saharan Africa,Senegal,163155.04,53509.12,109645.92
Europe,Georgia,1192261.14,1030613.94,161647.20
Europe,United Kingdom,1137594.40,685184.66,452409.74
Australia and Oceania,Solomon Islands,84968.31,63020.44,21947.87
Sub-Saharan Africa,Gabon,71458.47,53000.28,18458.19
Sub-Saharan Africa,Equatorial Guinea,863660.36,509753.58,353906.78
Middle East and North Africa,Saudi Arabia,1870691.84,1168229.76,702462.08
Europe,Malta,4037979.20,2432115.88,1605863.32
Sub-Saharan Africa,Swaziland,2087192.80,1257137.42,830055.38
Asia,Myanmar,1436235.54,917202.72,519032.82
Sub-Saharan Africa,Swaziland,871979.60,514663.80,357315.80
Asia,Indonesia,1240183.00,731986.50,508196.50
Sub-Saharan Africa,Benin,890741.28,292131.84,598609.44
Sub-Saharan Africa,Mauritania,89204.13,66162.12,23042.01
Sub-Saharan Africa,Tanzania,1227699.90,1061247.90,166452.00
Middle East and North Africa,Pakistan,219540.80,137101.20,82439.60
Europe,Spain,28950.99,21472.76,7478.23
Europe,Croatia,910183.74,684459.48,225724.26
Central America and the Caribbean,Trinidad and Tobago,2935041.84,2207155.68,727886.16
Europe,Kosovo,459098.80,270971.40,188127.40
Sub-Saharan Africa,Lesotho,234497.90,157106.18,77391.72
Australia and Oceania,Vanuatu,54001.92,46680.32,7321.60
Central America and the Caribbean,Costa Rica,1114276.90,634384.87,479892.03
Australia and Oceania,Marshall Islands,794415.60,550832.40,243583.20
Australia and Oceania,Kiribati,426148.45,285505.99,140642.46
Europe,Albania,128076.16,42004.48,86071.68
Asia,South Korea,61590.10,41263.42,20326.68
Europe,Austria,303442.75,203297.05,100145.70
Europe,Germany,346443.72,279278.72,67165.00
North America,Mexico,1071599.68,351447.04,720152.64
Europe,Ukraine,4784439.87,3856881.12,927558.75
Sub-Saharan Africa,Nigeria,5558001.59,4179625.18,1378376.41
Europe,Poland,536346.24,175902.72,360443.52
Middle East and North Africa,Oman,146763.04,48133.12,98629.92
Europe,Georgia,1354605.24,865072.32,489532.92
Australia and Oceania,Tuvalu,37865.10,25368.42,12496.68
Central America and the Caribbean,Panama,1526499.70,869073.31,657426.39
Sub-Saharan Africa,Central African Republic,51957.75,34810.05,17147.70
Australia and Oceania,Solomon Islands,185026.06,109206.93,75819.13
Middle East and North Africa,Algeria,2335812.00,1458693.00,877119.00
Europe,Bosnia and Herzegovina,276492.59,191714.61,84777.98
Europe,Latvia,2849043.75,2296700.00,552343.75
Sub-Saharan Africa,Liberia,89857.23,66646.52,23210.71
Sub-Saharan Africa,Equatorial Guinea,1786710.20,1017217.46,769492.74
Sub-Saharan Africa,Sierra Leone,662666.84,459480.36,203186.48
Sub-Saharan Africa,Republic of the Congo,530918.08,368128.32,162789.76
Middle East and North Africa,Libya,774718.67,537174.93,237543.74
Asia,Vietnam,3073059.99,2477286.24,595773.75
Sub-Saharan Africa,Djibouti,3020177.60,1819083.64,1201093.96
Asia,Kyrgyzstan,226310.37,156919.23,69391.14
Central America and the Caribbean,Jamaica,662018.24,217118.72,444899.52
Sub-Saharan Africa,Kenya,1119669.20,674388.13,445281.07
Europe,Bosnia and Herzegovina,3404835.65,2560441.30,844394.35
Sub-Saharan Africa,Rwanda,5685641.16,4275610.32,1410030.84
Europe,Norway,714226.98,456116.64,258110.34
Asia,South Korea,615018.25,426441.75,188576.50
Australia and Oceania,Tonga,74462.73,55228.52,19234.21
Europe,Romania,2303902.00,1438765.50,865136.50
Asia,Nepal,288552.00,173797.80,114754.20
Europe,Iceland,750998.76,479599.68,271399.08
Middle East and North Africa,Jordan,181016.00,103056.80,77959.20
Europe,Denmark,1469497.98,938444.64,531053.34
Australia and Oceania,New Zealand,441617.15,295869.53,145747.62
Asia,Vietnam,615.78,456.72,159.06
Europe,Cyprus,3840464.67,3319773.07,520691.60
Sub-Saharan Africa,Sao Tome and Principe,869052.46,512936.13,356116.33
Europe,Poland,914346.10,539669.55,374676.55
Sub-Saharan Africa,Ghana,392411.50,262903.30,129508.20
Sub-Saharan Africa,Lesotho,5322102.28,4002228.56,1319873.72
Europe,Moldova ,258556.48,84797.44,173759.04
Australia and Oceania,Tonga,478610.88,331859.52,146751.36
Central America and the Caribbean,Saint Lucia,2118234.00,1275833.85,842400.15
Australia and Oceania,Tonga,423256.92,270298.56,152958.36
Europe,Russia,788633.14,465470.67,323162.47
Australia and Oceania,New Zealand,207973.35,139335.57,68637.78
Middle East and North Africa,Lebanon,2231468.80,1344036.32,887432.48
Europe,Denmark,1819827.90,1036072.17,783755.73
Europe,Italy,1419200.72,837647.16,581553.56
Sub-Saharan Africa,Kenya,2881086.81,2490468.01,390618.80
Sub-Saharan Africa,Namibia,1905754.80,1147855.47,757899.33
Middle East and North Africa,Qatar,227954.52,145575.36,82379.16
Central America and the Caribbean,Cuba,1519391.64,970307.52,549084.12
Sub-Saharan Africa,Senegal,695195.38,482035.02,213160.36
Australia and Oceania,Kiribati,1220771.44,720529.32,500242.12
Asia,Mongolia,2635878.80,1587616.57,1048262.23
Europe,Poland,1167324.00,703091.10,464232.90
Central America and the Caribbean,Dominican Republic,1993852.14,1723524.94,270327.20
Australia and Oceania,Fiji,169363.80,108158.40,61205.40
Europe,Bosnia and Herzegovina,1195967.78,705889.59,490078.19
Europe,Macedonia,1121805.51,969710.71,152094.80
Europe,Kosovo,7491.99,5556.76,1935.23
Middle East and North Africa,Oman,1898611.00,1080925.30,817685.70
Europe,Austria,164195.57,113850.03,50345.54
Sub-Saharan Africa,Sudan,2290053.60,1379322.54,910731.06
Sub-Saharan Africa,Benin,19098.51,14165.24,4933.27
Middle East and North Africa,Libya,1562702.90,889684.67,673018.23
Europe,Poland,839256.00,477808.80,361447.20
Middle East and North Africa,Tunisia ,2501221.20,1506510.93,994710.27
Sub-Saharan Africa,Mozambique,308367.29,213815.91,94551.38
Europe,Bosnia and Herzegovina,14209.59,10539.16,3670.43
Middle East and North Africa,Lebanon,1910747.30,1087834.79,822912.51
Australia and Oceania,Australia,446884.10,299398.22,147485.88
Middle East and North Africa,United Arab Emirates,105595.16,73217.64,32377.52
Sub-Saharan Africa,Zambia,4224134.67,3176555.34,1047579.33
Australia and Oceania,Kiribati,449653.26,287155.68,162497.58
Europe,Bulgaria,693587.16,599550.36,94036.80
Europe,Kosovo,1527813.02,901752.81,626060.21
Europe,Moldova ,3080640.78,2662966.38,417674.40
Asia,Kyrgyzstan,154833.63,133841.23,20992.40
Sub-Saharan Africa,Mozambique,71934.30,53353.20,18581.10
Central America and the Caribbean,Jamaica,2168512.00,1306116.80,862395.20
Europe,Andorra,4275816.00,2575367.40,1700448.60
Australia and Oceania,Vanuatu,64022.46,47485.04,16537.42
Sub-Saharan Africa,Seychelles ,451087.68,266243.04,184844.64
Europe,Georgia,16187.55,12006.20,4181.35
Sub-Saharan Africa,Seychelles ,990951.04,324997.12,665953.92
Asia,Turkmenistan,3267116.16,2824159.36,442956.80
Sub-Saharan Africa,Namibia,666791.36,416405.04,250386.32
Asia,Bangladesh,847276.74,541084.32,306192.42
Central America and the Caribbean,Costa Rica,201241.53,173957.13,27284.40
Sub-Saharan Africa,Sudan,77681.58,57615.92,20065.66
Asia,Vietnam,319520.44,188588.82,130931.62
Australia and Oceania,New Zealand,755044.40,454770.91,300273.49
Sub-Saharan Africa,Niger,761641.87,528107.73,233534.14
Central America and the Caribbean,Trinidad and Tobago,598113.60,381964.80,216148.80
Middle East and North Africa,Lebanon,724089.28,237475.84,486613.44
Central America and the Caribbean,Saint Lucia,857960.14,506389.17,351570.97
Asia,Kazakhstan,8480.97,6290.28,2190.69
Sub-Saharan Africa,Sao Tome and Principe,6407255.19,5165081.44,1242173.75
Europe,Luxembourg,243568.86,143760.33,99808.53
Europe,Poland,1598501.84,1202075.68,396426.16
Central America and the Caribbean,Guatemala,85139.64,54371.52,30768.12
Sub-Saharan Africa,Sudan,214913.70,126847.35,88066.35
Middle East and North Africa,Iraq,346943.12,204774.36,142168.76
Sub-Saharan Africa,Malawi,1156836.54,682793.37,474043.17
Australia and Oceania,Fiji,2330029.38,1878306.88,451722.50
Middle East and North Africa,Afghanistan,2606253.00,1959906.00,646347.00
Sub-Saharan Africa,Zimbabwe,1008356.00,629709.00,378647.00
Asia,Nepal,4164658.64,3131829.28,1032829.36
Europe,Moldova ,2309290.40,1390909.06,918381.34
Asia,Kyrgyzstan,1782944.36,1340776.72,442167.64
Asia,China,162479.24,112659.96,49819.28
Sub-Saharan Africa,Djibouti,2588209.71,1946337.42,641872.29
Europe,Spain,414717.87,358490.27,56227.60
Asia,China,246089.03,170633.37,75455.66
Sub-Saharan Africa,Uganda,734496.00,442394.40,292101.60
Asia,Tajikistan,627813.60,205900.80,421912.80
North America,United States of America,2528386.77,2185587.17,342799.60
Europe,Netherlands,19615.20,13600.80,6014.40
Australia and Oceania,Papua New Guinea,1714715.20,976228.96,738486.24
Sub-Saharan Africa,Botswana,1473017.70,838624.71,634392.99
Australia and Oceania,Solomon Islands,866433.44,511390.32,355043.12
Sub-Saharan Africa,Djibouti,2468557.60,1541591.40,926966.20
Central America and the Caribbean,Nicaragua,3067562.19,2651660.99,415901.20
Sub-Saharan Africa,Liberia,523654.56,334414.08,189240.48
Middle East and North Africa,Morocco,3379779.90,2724542.40,655237.50
Europe,Armenia,313739.40,210195.48,103543.92
Europe,Armenia,2536752.92,1907641.84,629111.08
Sub-Saharan Africa,Sudan,92105.76,68314.24,23791.52
Central America and the Caribbean,Saint Kitts and Nevis ,218.56,71.68,146.88
Europe,Ukraine,521273.94,361441.26,159832.68
Europe,Finland,491765.34,314049.12,177716.22
Europe,Georgia,756448.77,653889.17,102559.60
Sub-Saharan Africa,Burkina Faso,3590614.71,2700147.42,890467.29
Sub-Saharan Africa,Namibia,659684.92,389362.26,270322.66
Middle East and North Africa,Libya,178136.20,101417.26,76718.94
Central America and the Caribbean,Guatemala,213904.60,143309.32,70595.28
Sub-Saharan Africa,Cote d'Ivoire,4308405.36,3473135.36,835270.00
Central America and the Caribbean,Nicaragua,52574.55,38994.20,13580.35
Europe,Armenia,310805.46,198485.28,112320.18
Asia,South Korea,2224002.56,1672453.12,551549.44
Middle East and North Africa,Jordan,3953599.60,2381293.19,1572306.41
Europe,Cyprus,470029.23,325909.17,144120.06
Australia and Oceania,Tonga,421273.60,239841.28,181432.32
Asia,Singapore,910583.76,568651.14,341932.62
Europe,San Marino,1638811.90,933015.37,705796.53
Europe,Cyprus,812477.93,563356.47,249121.46
Sub-Saharan Africa,Republic of the Congo,57957.96,42987.04,14970.92
Middle East and North Africa,Algeria,137085.36,85608.54,51476.82
Asia,Bangladesh,3670021.11,3172438.31,497582.80
Asia,China,1484209.02,1282979.42,201229.60
Sub-Saharan Africa,South Sudan,4152241.38,3589278.98,562962.40
Central America and the Caribbean,Haiti,1964435.00,1118400.50,846034.50
Middle East and North Africa,Azerbaijan,535658.42,371415.18,164243.24
Sub-Saharan Africa,Nigeria,757292.55,654618.55,102674.00
Sub-Saharan Africa,Sudan,391415.05,262235.71,129179.34
Sub-Saharan Africa,Swaziland,55224.27,40959.48,14264.79
Europe,Germany,2886571.38,2495208.98,391362.40
Middle East and North Africa,Iraq,9288.80,3046.40,6242.40
Asia,Turkmenistan,320097.70,214455.34,105642.36
Europe,Italy,235209.65,157583.03,77626.62
Asia,Bhutan,2057557.53,1778593.13,278964.40
Europe,Montenegro,302319.27,209622.33,92696.94
Asia,Indonesia,52879.31,36665.49,16213.82
Europe,Ukraine,863470.00,520076.75,343393.25
Europe,Ukraine,283323.95,189818.09,93505.86
Asia,Japan,1635315.00,931024.50,704290.50
Australia and Oceania,Vanuatu,2300546.40,1385642.46,914903.94
Sub-Saharan Africa,Burundi,352335.22,207956.91,144378.31
Europe,Armenia,594046.08,194826.24,399219.84
Europe,Hungary,5447068.77,4096203.54,1350865.23
Europe,Malta,280239.70,187751.74,92487.96
Europe,Austria,98484.65,68287.35,30197.30
Sub-Saharan Africa,Republic of the Congo,5591289.06,4507306.56,1083982.50
Sub-Saharan Africa,Sao Tome and Principe,1481132.84,874201.02,606931.82
Sub-Saharan Africa,Democratic Republic of the Congo,2014159.20,1257823.80,756335.40
Sub-Saharan Africa,Eritrea,831439.40,473358.62,358080.78
Middle East and North Africa,Qatar,186864.96,116695.44,70169.52
Sub-Saharan Africa,Sudan,3228302.28,2790607.88,437694.40
Europe,Belarus,4361130.02,3279576.04,1081553.98
Europe,Norway,1256621.30,715424.99,541196.31
Middle East and North Africa,Oman,1096592.46,700301.28,396291.18
Sub-Saharan Africa,Sierra Leone,3312664.40,1995251.41,1317412.99
Central America and the Caribbean,Antigua and Barbuda ,3116361.60,1877016.24,1239345.36
Sub-Saharan Africa,Mauritius ,415017.60,265036.80,149980.80
Asia,Nepal,671404.80,382247.04,289157.76
Middle East and North Africa,Oman,513834.56,168519.68,345314.88
Sub-Saharan Africa,Togo,3346696.16,2516720.32,829975.84
Middle East and North Africa,Tunisia ,3875903.43,3350407.03,525496.40
Middle East and North Africa,Yemen,202848.75,135902.25,66946.50
Europe,Estonia,2825600.19,2277801.44,547798.75
Sub-Saharan Africa,Ethiopia,3567328.38,2875730.88,691597.50
Middle East and North Africa,Azerbaijan,535294.62,431517.12,103777.50
Asia,Uzbekistan,452130.36,313498.44,138631.92
Central America and the Caribbean,Panama,277462.06,163764.93,113697.13
Europe,Slovenia,314742.23,218236.17,96506.06
Australia and Oceania,Federated States of Micronesia,1963377.26,1476462.52,486914.74
Asia,Taiwan,361886.94,213594.57,148292.37
Europe,Ukraine,262272.00,86016.00,176256.00
Central America and the Caribbean,Antigua and Barbuda ,2294659.71,1983548.91,311110.80
Asia,Cambodia,357762.72,309257.12,48505.60
Central America and the Caribbean,Grenada,24094.77,19423.52,4671.25
Europe,Ireland,220935.84,141093.12,79842.72
Europe,Cyprus,51837.48,38447.52,13389.96
Sub-Saharan Africa,Kenya,92031.12,68258.88,23772.24
Asia,Bhutan,185482.05,124267.11,61214.94
Central America and the Caribbean,Saint Lucia,202089.55,135393.61,66695.94
Middle East and North Africa,Oman,4158646.40,2504794.96,1653851.44
Central America and the Caribbean,Saint Lucia,251390.10,168423.42,82966.68
Sub-Saharan Africa,Eritrea,86563.74,64203.76,22359.98
Sub-Saharan Africa,Comoros,1264026.50,719640.95,544385.55
Central America and the Caribbean,Panama,403791.26,238327.53,165463.73
Asia,Brunei,116869.35,78298.77,38570.58
Middle East and North Africa,Lebanon,948161.76,764341.76,183820.00
Australia and Oceania,Solomon Islands,1615208.59,1214639.18,400569.41
Australia and Oceania,Tuvalu,85691.20,51612.68,34078.52
Europe,Austria,4344873.12,3502533.12,842340.00
Sub-Saharan Africa,Malawi,878097.90,560767.20,317330.70
Sub-Saharan Africa,Seychelles ,1280146.20,817521.60,462624.60
Sub-Saharan Africa,Burundi,5044101.96,3793171.92,1250930.04
Sub-Saharan Africa,South Sudan,264478.28,183384.12,81094.16
Australia and Oceania,Marshall Islands,612075.97,424401.63,187674.34
Sub-Saharan Africa,Ghana,1430437.50,913500.00,516937.50
Asia,Thailand,93216.03,69137.72,24078.31
Middle East and North Africa,Kuwait,4991308.63,3753471.26,1237837.37
Asia,Indonesia,93429.05,62594.51,30834.54
Asia,Nepal,104364.72,66648.96,37715.76
Sub-Saharan Africa,Democratic Republic of the Congo,134615.65,90188.23,44427.42
Central America and the Caribbean,Saint Kitts and Nevis ,222208.35,148872.57,73335.78
Europe,Serbia,1970897.60,1187091.64,783805.96
Middle East and North Africa,Turkey,1569696.70,893666.41,676030.29
Sub-Saharan Africa,South Africa,287568.60,163719.78,123848.82
Central America and the Caribbean,Jamaica,80159.10,69291.10,10868.00
Sub-Saharan Africa,Cape Verde,64551.14,38099.67,26451.47
Central America and the Caribbean,Trinidad and Tobago,843309.66,538550.88,304758.78
Australia and Oceania,Tuvalu,46833.15,31376.73,15456.42
North America,Mexico,6217584.08,4675632.16,1541951.92
Asia,Laos,765036.12,488564.16,276471.96
Sub-Saharan Africa,Chad,90361.05,67020.20,23340.85
Europe,San Marino,565244.68,391929.72,173314.96
Sub-Saharan Africa,Mauritania,4902428.72,3686633.44,1215795.28
Asia,Cambodia,394063.68,129239.04,264824.64
Sub-Saharan Africa,Malawi,442813.14,307038.06,135775.08
Sub-Saharan Africa,Eritrea,692961.88,409003.14,283958.74
Sub-Saharan Africa,Nigeria,784444.54,543918.66,240525.88
Australia and Oceania,Nauru,980722.26,790589.76,190132.50
Europe,Georgia,2052195.92,1281577.38,770618.54
Middle East and North Africa,Kuwait,5890194.45,4748263.20,1141931.25
Asia,China,214222.32,136805.76,77416.56
Europe,Albania,191128.60,128050.12,63078.48
Sub-Saharan Africa,Guinea,312431.52,102466.56,209964.96
Middle East and North Africa,Saudi Arabia,1498493.60,935795.40,562698.20
Sub-Saharan Africa,Guinea-Bissau,5253311.07,4234852.32,1018458.75
Europe,Italy,530019.05,367504.95,162514.10
Europe,Poland,1067788.70,607918.01,459870.69
Europe,Albania,44061.16,26005.98,18055.18
Europe,Spain,535144.16,175508.48,359635.68
Sub-Saharan Africa,Central African Republic,342203.51,237277.29,104926.22
Sub-Saharan Africa,Mauritius ,3246.84,2408.16,838.68
Sub-Saharan Africa,Comoros,621474.92,430918.68,190556.24
Central America and the Caribbean,Grenada,1840313.52,1149258.78,691054.74
Central America and the Caribbean,Haiti,1070702.80,644895.17,425807.63
Middle East and North Africa,Yemen,561240.58,331257.99,229982.59
Australia and Oceania,New Zealand,645486.60,367491.18,277995.42
Europe,Slovakia,2929.62,2172.88,756.74
North America,Mexico,538028.59,373058.61,164969.98
Middle East and North Africa,Lebanon,258620.49,194482.98,64137.51
Europe,Malta,104342.55,69906.21,34436.34
Central America and the Caribbean,Belize,451961.25,302799.75,149161.50
Sub-Saharan Africa,Tanzania,90155.00,60401.00,29754.00
Asia,India,3837580.53,3093589.28,743991.25
Europe,Sweden,15560.06,9183.93,6376.13
Middle East and North Africa,Tunisia ,31677.80,18034.94,13642.86
Asia,Laos,303545.22,210472.38,93072.84
Middle East and North Africa,Azerbaijan,835222.92,533386.56,301836.36
Central America and the Caribbean,Honduras,1440121.85,1082973.70,357148.15
Australia and Oceania,Fiji,1545835.50,880081.65,665753.85
Europe,Romania,599734.74,415844.46,183890.28
Australia and Oceania,Vanuatu,913719.40,520202.62,393516.78
Middle East and North Africa,Bahrain,938154.00,585868.50,352285.50
Asia,China,1766282.32,1103026.98,663255.34
Europe,Switzerland,1245112.92,734896.26,510216.66
Australia and Oceania,Federated States of Micronesia,3421106.01,2957271.21,463834.80
Central America and the Caribbean,Antigua and Barbuda ,815093.29,565169.91,249923.38
Australia and Oceania,Fiji,756564.60,430730.58,325834.02
Central America and the Caribbean,Dominican Republic,59834.45,40087.19,19747.26
Europe,Luxembourg,782150.80,471097.37,311053.43
Middle East and North Africa,Israel,695130.08,227978.24,467151.84
Asia,Laos,2076314.89,1561391.78,514923.11
Asia,Thailand,178743.51,123937.29,54806.22
Sub-Saharan Africa,Mauritania,122323.64,72198.42,50125.22
Europe,Romania,666262.96,461973.84,204289.12
Sub-Saharan Africa,Namibia,78731.28,50279.04,28452.24
Europe,Ukraine,504355.83,349710.57,154645.26
North America,Mexico,67170.16,39645.48,27524.68
Sub-Saharan Africa,Mauritania,6139.14,4553.36,1585.78
Central America and the Caribbean,Jamaica,185995.02,118779.36,67215.66
Middle East and North Africa,Bahrain,1754003.90,998596.97,755406.93
Asia,Bhutan,56241.24,41713.76,14527.48
Central America and the Caribbean,Honduras,4019179.60,2420792.69,1598386.91
Sub-Saharan Africa,Seychelles ,134532.56,84014.34,50518.22
Europe,Serbia,2974727.28,2398017.28,576710.00
Central America and the Caribbean,Honduras,443846.86,261969.33,181877.53
Europe,Belgium,5904521.07,4759812.32,1144708.75
Australia and Oceania,Federated States of Micronesia,2444642.34,1970699.84,473942.50
Sub-Saharan Africa,South Sudan,6418065.08,4826394.16,1591670.92
Sub-Saharan Africa,Kenya,962779.80,614846.40,347933.40
Middle East and North Africa,United Arab Emirates,52192.02,38710.48,13481.54
Europe,Austria,957020.72,564857.16,392163.56
Sub-Saharan Africa,Ethiopia,1841015.00,1048134.50,792880.50
Sub-Saharan Africa,Togo,415085.28,259216.92,155868.36
Sub-Saharan Africa,Togo,193928.15,129925.73,64002.42
Europe,Belarus,152504.30,102173.06,50331.24
Europe,Switzerland,2021307.04,1262287.56,759019.48
Europe,Italy,196490.45,131642.39,64848.06
Central America and the Caribbean,Panama,4158569.73,3594749.33,563820.40
Europe,Germany,5802.83,4023.57,1779.26
Central America and the Caribbean,Barbados,767417.91,663371.11,104046.80
Central America and the Caribbean,Saint Kitts and Nevis ,2340662.32,1461721.98,878940.34
Sub-Saharan Africa,Seychelles ,5351643.78,4314121.28,1037522.50
Sub-Saharan Africa,Togo,323063.82,190680.21,132383.61
